pH,Temp,OD,Cond,Redox,Mang,Color,Turb,TOC
9,20.47,8.8,50.97038391224861,130.4597561,0.016,10,6,3.3509
9.1,19.73,9.1,50.97038391224861,130.4597561,0.02,21,7,2.1782
9.9,21.07,9.7,67.1,130.4597561,0.01,13,6,2.4882
9.3,20.9,9,61.3,130.4597561,0.01,12,7,2.4014
8.4,20.33,7.7,55.3,130.4597561,0.026,15,4,2.3195
8.3,19.25,6.7,61.1,130.4597561,0.132,30,6,2.7763
10.2,21.13,10,64.2,130.4597561,0.011,22,7,2.6702
10,20.8,9.9,69.8,130.4597561,0.015,20,9,2.5814
10.1,19.87,9.9,58.1,130.4597561,0.01,18,8,2.4592
7.1,21.17,8.1,55.2,149.9,0.018,4,1,2.0229
6.6,19.83,6.4,54.1,166.1,0.013,11,4,2.2431
6.7,19.45,4.7,56.4,159.6,0.012,15,4,2.0805
6.3,19.84,5.4,56.9,50,0.17,13,5,2.4727
7.4,21.4,7.9,53.9,165.3,0.01,13,5,2.1899
7.3,21.63,7.9,60.1,155.5,0.009,12,4,2.1542
7.5,20.77,8,50.2,168.7,0.011,13,6,2.1868
9.1,21.53,10.4,57.4,111.6,0.012,9,6,2.7203
7.8,20.33,7.7,61.4,144,0.016,10,5,2.8076
7.3,20,5.4,69.5,151.1,0.029,12,4,2.3441
6.9,20,7.7,64.7,19,0.14,14,6,2.8035
8.8,21.83,9.4,56.7,128.4,0.028,12,7,2.746
8.8,21.67,9.7,65.5,112.5,0.024,15,8,2.7553
9,21.2,9.7,54.6,126.8,0.012,8,5,2.6272
7.7,22.07,8,57.6,111.6,0.003,9,5,2.7959
7.2,20.5,6.7,62.4,138.6,0.009,12,5,2.6669
7.2,19.75,4.3,68.7,152.1,0.037,13,6,2.7792
6.9,20.04,5,57.8,45.7,0.186,37,5,2.3639
7.9,22.6,8.2,53.8,187.7,0.022,10,6,2.7822
7.7,22.23,7.9,68.8,163.7,0.058,1,11,2.1063
8.5,22.27,8.5,52.4,184.6,0.008,7,5,2.5902
7,21,8,49.6,185.2,0.02,24,7,2.6441
6.5,18.8,5,52.5,197.1,0.027,16,7,2.6311
6.7,18.57,6.1,66.4,196,0.035,12,15,2.5558
6.5,19.2,5.4,57.8,161.4,0.032,19,13,2.6267
6.9,20.4,7.4,49.3,205.9,0.02,18,5,2.5094
7.3,21,8.1,53.6,188.3,0.015,18,9,2.5837
7,20.53,8,48.9,216.5,0.018,13,8,4.6821
8.3,20.73,9.2,47.6,175.6,0.008,16,9,5.3534
6.7,18.8,6.3,54.2,207.4,0.013,9,4,2.5735
7,18.37,5.7,70.6,203.8,0.031,9,5,2.2436
6.9,19.06,5.7,52.9,144.9,0.043,14,7,2.6865
8.4,21.27,9,47,193.6,0.009,9,19,2.8452
8.4,21.1,8.9,48.2,183,0.006,5,14,3.0093
7.5,19.3,7.8,45.1,213,0.01,4,9,2.5745
9.1,20.73,10.2,57.5,176.1,0.006,15,44,2.1317
7.2,19,6.4,49.8,194,0.01,15,13,2.1468
7.7,18.57,5.2,61.9,204.8,0.012,14,9,2.1111
6.9,19.11,6.3,51.2,219.4,0.031,20,21,2.1975
7.9,21.25,10.9,58.3,153.8,0.005,13,46,2.5669
9.4,21.55,10.4,56.4,147.7,0.011,17,48,2.6158
9.5,20.95,10.8,57.5,152.7,0.011,17,66,2.6056
9.3,22.7,9.6,61.7,99.8,0.013,8,42,2.6062
6.7,20.1,4.1,58,157.7,0.013,5,9,2.3693
7.1,19.45,2.4,53.3,163.2,0.055,7,10,2.0661
7,19.49,4.9,51.5,58.2,0.088,7,16,2.0754
9.6,23.95,9.8,67.3,93.8,0.013,5,53,2.8412
9.5,22.5,10.4,67.2,97.9,0.011,6,49,3.1828
9.4,22.7,9.2,58.1,104,0.01,8,34,3.5593
9.2,21.93,9.3,60.4,130.9,0.011,13,25,2.4664
7.5,20.13,5.7,57.2,174.3,0.011,11,9,2.466
7.6,19.7,3.7,50.8,172.3,0.021,7,10,2.0332
7.7,20.18,5.8,60,48,0.111,20,20,2.3627
9.6,23.5,9.3,65.7,127,0.015,8,38,2.6964
9.4,23.45,9.7,79.9,123.7,0.012,13,33,2.5427
9.7,24.2,10.2,66.7,104,0.012,9,59,2.7385
8.7,21.9,9,55.8,100.4,0.005,13,17,2.7125
7.4,20.43,5.2,51,147.3,0.005,13,8,2.6634
7.7,20.05,5.4,60.5,126.8,0.011,14,41,2.6857
7.2,20.29,5.8,64.7,101,0.165,32,11,2.6568
8.8,22.17,8,53.9,131.2,0.008,15,16,2.7208
8.9,21.9,8.7,56.2,108.9,0.003,15,17,2.7846
9.2,22.57,9.4,55,254.8,0.006,14,61,2.8203
6.6,22.1,7.4,50.8,81.3,0.01,12,4,2.5587
6.5,20.4,6.4,61.7,87.4,0.018,13,6,2.2807
6.4,18.93,3.3,62.8,106.9,0.074,13,7,2.396
6.3,19.85,4.3,59.5,22.2,0.146,13,8,2.497
6.8,21.5,9.1,52.1,106.9,0.025,11,5,2.2133000000000003
6.8,21.43,7.2,60,98.1,0.005,11,6,2.3286
7.1,22.1,7.8,50.5,112.5,0.015,13,5,2.4384
7,21.5,7.6,50.5,31.8,0.004,14,5,2.2811
6.7,19.97,6.1,62.5,56.4,0.006,16,12,2.3211
6.8,18.7,5.4,78.5,64.5,0.029,17,12,2.2317
6.4,19.49,4.1,58.4,72.4,0.16,23,5,2.75
7,21.07,6.5,52.8,69.1,0.014,14,11,2.6708
7,21.17,7.6,57.8,28.7,0.009,11,6,3.3556
7.1,20.8,7.3,52.8,65.2,0.012,9,5,2.5213
6.8,21.45,7.6,58.4,55.4,0.008,8,1,2.5769
6.7,19.65,4.8,68.2,59.5,0.025,9,3,2.2879
6.8,18.93,2.2,64,4.7,0.289,16,6,2.4211
6.6,19.69,5.3,58.9,71.9,0.169,27,4,2.481
7.1,21.17,6.4,54.9,164.2,0.031,10,2,2.0337
7,20.83,7.1,68.2,158.9,0.028,5,3,2.2479
8.1,21.7,8.7,54.7,122.8,0.007,5,1,2.3353
8.9,22.13,9.1,57.7,39.9,0.01,9,3,2.2133000000000003
7,20.13,5.3,68,79.8,0.011,12,8,2.2133000000000003
6.9,19.1,1.4,61.2,49.8,0.016,14,59,2.2133000000000003
7.7,20.24,5.6,68.9,45.9,0.138,30,5,2.2133000000000003
8.4,21.73,7.8,57.2,128,0.03,12,3,2.2133000000000003
8.4,21.87,8.3,67.2,107.1,0.011,11,13,2.2133000000000003
9.2,21.67,9.7,58,113,0.014,17,8,2.2133000000000003
6.8,21.4,6.5,52.2,155.6,0.01,9,3,2.1988
6.7,19.97,5.5,54.1,152.7,0.011,12,8,2.328
6.9,19.17,5.9,63.1,119.2,0.016,14,59,2.5027
6.5,19.7,4.9,69.5,30.7,0.138,30,5,2.5986
6.9,21.17,5.7,51.2,159.7,0.029,12,3,2.1771
7,21.87,6.7,56.1,161.1,0.011,11,13,2.2759
7,20.7,6.8,49.8,191.9,0.014,17,8,2.9369
7.3,21.85,7.5,54.4,113.5,0.011,11,6,3.4483
6.7,19.5,5.1,65,123.4,0.016,14,12,2.6816
6.8,18.9,3.8,66.2,129.1,0.046,16,19,2.3734
6.7,19.76,4.4,66.1,18.8,0.134,23,8,2.5674
7.5,21.33,7.6,50.5,140.9,0.04,11,5,2.9058
7.6,21.93,7.6,54.4,127.7,0.016,7,5,2.7362
7.9,21.87,7.8,52.2,121.6,0.01,5,3,2.6414
7.8,19.86,7.8,52.5,169.2,0.012,14,12,2.1459
7,18.6,6,56.9,196,0.021,17,23,2.2403
7.2,18.15,6.6,60.2,183,0.025,19,30,2.2649
7.3,19.42,4.2,57.8,43.6,0.143,15,7,2.4253
7.5,19.83,7.3,50.1,198.1,0.035,12,6,2.1692
7.8,19.53,7.7,53.9,176.3,0.018,16,12,2.2813
7.9,20.23,8.1,50.1,177.7,0.024,15,3,4.9716
7.7,19.75,7.6,48.8,144,0.022,12,3,2.5026
7.7,18.68,6.1,55.5,156.1,0.025,12,8,2.2721
7.6,18.03,5.8,62,139.7,0.058,16,10,2.2561
7.5,18.89,5,49.7,148.5,0.077,12,3,2.4424
7.7,19.93,7.1,46.8,157.2,0.031,11,3,2.3014
7.7,20.43,7.9,51.1,152.4,0.021,10,4,2.3714
7.8,20.47,7.8,47.8,148.8,0.03,9,2,2.4907
