,PM,Profuidad,Zona fótica,pH,Temperatura ,OD,OD%,Conductividad,Redox,Fósforo Total,Nitratos,N. amonical ,Mang,Color,Turbiedad,N total,TOC,"UV 
(cm1)",SUVA,Clorofila,Feopigmentos,Algas,Cianobacterias totales,F N,CL N,NO2 N,NO3 N,SO4 N,NH4+ N,K N,NT N,NT Orgánico N
171,Presa,1.57,4.25,7.1,18.36,5.0,68.93,45.8,11.1,43.50093808630394,2.483,11.628,0.106,17.0,8,0.387,2.3518,0.098,4.2,9.48,5.03,275,3233,0.027,2.705,0.015,0.296,2.087,0.081,1.114,0.498,0.363
172,Potreros,0.82,2.22,9.9,20.7,11.6,167.2,46.6,44.8,43.50093808630394,7.675,8.527,0.009,19.0,12,0.294,2.5741,0.098,3.8,9.48,5.03,265,3700,0.024,2.439,0.024259911894273126,0.011,1.916,0.015,0.995,0.387,0.373
173,PalmasEsp.Santo,0.75,2.03,9.9,20.8,11.6,167.9,48.4,41.1,43.50093808630394,66.817,62.791,0.009,19.0,14,0.498,2.4451,0.088,3.6,9.48,5.03,175,6433,0.04,2.489,0.003,0.034,1.898,0.011,0.991,0.294,0.277
174,Descarga Bombeo,1.9,5.14,8.5,19.43,7.8,109.47,42.4,47.7,43.50093808630394,64.334,10.078,0.012,17.0,11,0.45,2.3829,0.092,3.9,9.48,5.03,35,627,0.025,2.541,0.01,0.285,2.011,0.013,1.075,0.45,0.372
175,Torre Superficial,0.8,2.16,9.5,22.5,8.0,119.07,45.3,39.8,10.0,112.66989361926021,30.233,0.011,14.0,10,0.232,2.1731,0.074,3.4,9.48,5.03,1082,2733,0.037,2.271,0.024259911894273126,0.5196979742173112,1.68,0.06,0.847,0.232,0.22347852760736198
176,Torre Media,0.72,1.95,7.3,18.48,6.4,88.33,44.3,98.5,43.50093808630394,62.754,30.233,0.015,18.0,14,0.452,2.6197,0.108,4.1,9.48,5.03,184,1299,0.022,2.636,0.009,0.278,2.193,0.06,1.054,0.452,0.387
177,Torre Profua,0.72,1.95,7.7,18.23,7.2,99.23,49.1,92.4,43.50093808630394,81.941,6.977,0.016,18.0,19,0.458,2.5286,0.104,4.1,9.48,5.03,164,845,0.025,2.843,0.01,0.363,2.447,0.009,1.081,0.458,0.366
178,Presa,1.45,3.92,7.5,19.48,4.5,65.26,45.0,61.5,43.50093808630394,112.66989361926021,30.233,0.067,12.0,6,0.281,2.2193,0.083,3.7,9.48,5.03,185,1533,0.022,2.157,0.003,0.5196979742173112,1.605,0.06,0.863,0.281,0.22347852760736198
179,Potreros,0.78,2.11,9.2,22.13,7.9,118.17,45.4,74.7,43.50093808630394,112.66989361926021,30.233,0.012,11.0,20,0.267,2.3868,0.082,3.4,9.48,5.03,1835,1833,0.021,2.185,0.024259911894273126,0.5196979742173112,1.595,0.06,0.794,0.267,0.22347852760736198
180,PalmasEsp.Santo,0.77,2.08,9.7,23.0,8.8,134.07,50.1,48.6,43.50093808630394,112.66989361926021,30.233,0.009,9.0,22,0.407,2.8054,0.085,3.0,9.48,5.03,750,1533,0.036,2.536,0.024259911894273126,0.5196979742173112,1.873,0.06,0.871,0.407,0.22347852760736198
181,Descarga Bombeo,2.05,5.55,9.5,21.7,7.8,117.77,41.8,45.9,43.50093808630394,112.66989361926021,30.233,0.011,7.0,4,0.202,2.4784,0.074,3.0,9.48,5.03,95,1833,0.03,2.114,0.003,0.5196979742173112,1.578,0.06,0.81,0.202,0.22347852760736198
182,Torre Superficial,1.2,3.25,9.5,21.93,8.6,127.0,47.9,49.3,80.0,76.975,30.233,0.009,12.0,15,0.535,3.5561,0.093,2.6,9.48,5.03,1262,1016,0.02,2.669,0.004,0.341,1.693,0.06,1.131,0.535,0.456
183,Torre Media,0.8,2.16,6.9,20.27,3.0,42.53,46.5,99.2,43.50093808630394,112.66989361926021,30.233,0.019,9.0,9,0.213,2.1081,0.069,3.3,9.48,5.03,275,1051,0.024,2.775,0.003,0.5196979742173112,2.062,0.06,0.972,0.213,0.22347852760736198
184,Torre Profua,0.8,2.16,6.9,19.47,3.0,41.93,50.5,101.9,43.50093808630394,112.66989361926021,30.233,0.013,10.0,11,0.354,1.9686,0.068,3.5,9.48,5.03,15,268,0.014,3.181,0.003,0.5196979742173112,2.414,0.06,0.914,0.354,0.22347852760736198
185,Presa,2.78,7.52,7.8,19.85,5.1,72.67,45.8,40.4,20.0,61.851,212.403,0.065,13.0,3,0.429,2.3973,0.078,3.3,9.48,5.03,30,2127,0.019,2.45,0.01,0.274,1.581,0.065,0.865,0.429,0.314
186,Potreros,1.0,2.71,9.8,23.13,9.5,143.5,49.1,55.1,110.0,31.377,107.752,0.009,18.0,17,0.752,3.7119,0.118,3.2,9.48,5.03,1615,930,0.02,2.57,0.003,0.139,1.577,0.014,0.879,0.752,0.709
187,PalmasEsp.Santo,0.8,2.16,9.8,22.8,8.7,129.67,50.0,56.0,30.0,15.801,54.264,0.009,5.0,32,1.157,5.2751,0.135,2.6,9.48,5.03,3625,960,0.02,2.902,0.003,0.07,1.785,0.019,0.957,1.157,1.126
188,Descarga Bombeo,1.93,5.22,9.6,22.25,8.1,121.15,45.1,74.8,30.0,78.555,269.767,0.009,6.0,4,0.465,3.7202,0.088,2.4,9.48,5.03,160,3327,0.021,2.516,0.008,0.348,1.576,0.06,0.824,0.465,0.383
189,Torre Superficial,0.68,1.84,8.6,22.7,6.8,101.83,48.2,202.6,70.0,29.12,14.729,0.014,14.0,10,0.423,3.5637,0.095,2.7,149.86,9.77,747,1085,0.017,2.911,0.006,0.129,1.907,0.019,1.007,0.423,0.377
190,Torre Media,1.2,3.25,6.9,19.83,3.5,50.13,50.3,110.9,40.0,69.074,18.605,0.015,13.0,4,0.464,2.3602,0.077,3.3,9.48,5.03,197,882,0.017,3.354,0.008,0.306,2.105,0.024,0.885,0.464,0.374
191,Torre Profua,1.2,3.25,6.9,19.2,3.2,44.6,51.4,109.2,20.0,91.196,49.612,0.015,10.0,4,0.441,2.1421,0.072,3.4,9.48,5.03,15,223,0.017,3.592,0.012,0.404,2.287,0.064,0.839,0.441,0.296
192,Presa,1.6,4.33,7.6,19.63,5.7,81.18,46.1,108.6,70.0,74.492,255.814,0.068,22.0,6,0.491,2.7929,0.085,3.0,62.79,5.63,465,660,0.021,2.696,0.011,0.33,2.031,0.168,1.055,0.491,0.283
193,Potreros,0.91,2.46,9.3,22.5,7.9,118.13,49.7,158.2,110.0,21.67,74.419,0.019,25.0,14,0.472,3.5899,0.11,3.1,200.21,11.67,1465,2339,0.024,2.88,0.005,0.096,1.854,0.015,0.949,0.472,0.437
194,PalmasEsp.Santo,0.67,1.81,8.9,22.13,6.8,102.33,54.2,166.7,120.0,18.284,62.791,0.019,18.0,16,0.707,3.8076,0.114,3.0,329.34,22.69,1720,660,0.019,3.564,0.004,0.081,2.226,0.031,0.983,0.707,0.663
195,Descarga Bombeo,1.98,5.36,9.5,21.3,8.1,117.13,46.7,171.7,30.0,47.404,162.791,0.02,16.0,5,0.595,3.2172,0.103,3.2,3.55,5.57,10,660,0.023,2.869,0.008,0.21,1.997,0.069,1.008,0.595,0.491
196,Torre Superficial,1.0,2.71,8.9,21.37,8.1,118.2,45.7,175.7,70.0,46.727,34.109,0.01,25.0,10,0.388,3.1716,0.081,2.6,71.67,40.69,665,5278,0.123,6.068,0.009,0.207,2.108,0.044,1.195,0.388,0.304
197,Torre Media,0.68,1.84,7.0,20.77,3.5,50.97,45.5,254.0,20.0,84.199,34.884,0.021,16.0,5,0.436,2.6499,0.071,2.7,23.69,8.23,178,805,0.022,2.92,0.014,0.373,1.995,0.045,1.086,0.436,0.313
198,Torre Profua,0.68,1.84,7.0,19.6,3.5,49.53,55.6,230.0,30.0,88.713,101.55,0.027,24.0,6,0.439,2.4967,0.073,2.9,15.99,2.25,78,223,0.019,4.107,0.013,0.393,2.712,0.131,1.074,0.439,0.244
199,Presa,1.55,4.19,7.5,19.6,5.3,75.25,44.7,126.0,50.0,87.359,70.543,0.059,21.0,7,0.471,2.7394,0.074,2.7,33.17,5.8,165,1533,0.024,2.565,0.017,0.387,1.994,0.091,1.109,0.471,0.308
200,Potreros,1.15,3.11,8.9,21.2,8.3,120.57,46.0,120.6,120.0,33.409,13.178,0.009,23.0,32,0.364,3.0694,0.077,2.5,293.21,42.65,1390,3433,0.021,2.66,0.011,0.148,1.974,0.017,1.1,0.364,0.314
201,PalmasEsp.Santo,1.15,3.11,9.4,21.8,9.3,135.5,49.7,172.1,50.0,30.926,13.953,0.011,19.0,18,0.431,3.3798,0.084,2.5,275.44,33.05,1345,3066,0.022,3.108,0.014,0.137,2.286,0.018,0.982,0.431,0.381
202,Descarga Bombeo,1.42,3.84,8.6,20.7,7.4,108.6,43.3,191.0,70.0,121.67,11.628,0.013,17.0,10,0.443,3.1441,0.091,2.9,11.85,2.67,10,3066,0.039,2.76,0.022,0.539,2.021,0.015,1.051,0.443,0.303
203,Torre Superficial,0.46,1.24,8.9,21.43,8.3,121.13,50.0,169.2,70.0,5.643,30.233,0.008,22.0,24,0.068,2.257207249070632,0.07452730696798493,3.3128544423440456,90.63,18.42,575,19427,0.024,2.84,0.024259911894273126,0.025,1.851,0.06,0.836,0.068,0.062
204,Torre Media,1.0,2.71,6.8,19.9,4.3,60.3,47.3,229.1,40.0,101.58,53.488,0.015,19.0,5,0.445,2.8814,0.078,2.7,59.23,10.43,293,1273,0.025,3.093,0.014,0.45,2.282,0.069,1.154,0.445,0.285
205,Torre Profua,1.0,2.71,7.0,19.25,3.9,54.65,53.0,232.2,20.0,125.734,91.473,0.018,20.0,5,0.487,2.5104,0.069,2.8,8.89,3.55,37,358,0.03,4.421,0.006,0.557,2.728,0.118,1.132,0.487,0.267
206,Presa,0.56,1.51,7.5,19.58,4.8,70.2,46.9,158.9,40.0,35.44,39.535,0.073,21.0,13,0.234,2.257207249070632,0.07452730696798493,3.3128544423440456,26.06,7.94,80,9730,0.024,2.67,0.024259911894273126,0.157,1.68,0.051,0.866,0.234,0.158
207,Potreros,0.75,2.03,9.4,22.13,9.3,139.17,48.1,146.9,130.0,1.354,14.729,0.012,23.0,28,0.132,2.257207249070632,0.07452730696798493,3.3128544423440456,264.77,52.84,1725,13994,0.024,2.717,0.024259911894273126,0.006,1.715,0.019,0.841,0.132,0.115
208,PalmasEsp.Santo,0.43,1.16,9.8,22.53,11.3,169.27,57.0,145.1,220.0,3.837,41.86,0.012,27.0,43,0.337,2.257207249070632,0.07452730696798493,3.3128544423440456,276.03,129.48,2385,40700,0.063,3.974,0.024259911894273126,0.017,2.426,0.054,0.884,0.337,0.291
209,Descarga Bombeo,0.54,1.46,9.9,23.2,10.2,154.7,54.7,123.8,90.0,1.129,10.853,0.009,20.0,29,0.145,3.1441,0.091,2.9,80.56,14.39,220,36294,0.024,2.685,0.024259911894273126,0.005,1.886,0.014,0.851,0.145,0.133
210,Torre Superficial,0.8,2.16,8.9,20.23,9.5,136.37,47.8,121.3,110.0,30.474,8.527,0.006,24.0,27,0.46,3.4844,0.09,2.6,103.66,15.76,480,30083,0.018,2.582,0.004,0.135,1.745,0.011,0.875,0.46,0.42
211,Torre Media,0.46,1.24,6.9,19.6,4.3,61.23,61.8,191.8,40.0,48.758,75.969,0.042,20.0,11,0.237,2.257207249070632,0.07452730696798493,3.3128544423440456,31.99,10.72,107,4127,0.019,4.971,0.024259911894273126,0.216,2.945,0.098,1.001,0.237,0.112
212,Torre Profua,0.46,1.24,7.4,19.05,2.8,39.05,58.4,192.5,30.0,111.061,71.318,0.088,21.0,7,0.371,2.257207249070632,0.07452730696798493,3.3128544423440456,4.15,4.56,10,223,0.023,4.416,0.024259911894273126,0.492,2.657,0.092,0.879,0.371,0.188
213,Presa,0.87,2.35,7.3,18.44,5.3,73.2,45.8,191.2,50.0,116.253,61.24,0.01,25.0,27,0.417,3.2124,0.114,3.6,17.77,23.28,480,4927,0.016,2.534,0.002,0.515,1.781,0.079,0.938,0.417,0.239
214,Potreros,0.68,1.84,9.2,20.83,9.4,126.0,45.5,109.5,110.0,15.124,20.155,0.03,17.0,18,0.264,3.5327,0.103,2.9,55.68,10.66,270,15727,0.015,2.41,0.024259911894273126,0.067,1.565,0.026,0.856,0.264,0.229
215,PalmasEsp.Santo,0.92,2.49,9.5,20.57,9.8,140.77,48.7,85.3,40.0,15.576,10.078,0.007,19.0,27,0.293,3.4506,0.088,2.5,34.95,16.88,25,15594,0.015,2.701,0.024259911894273126,0.069,1.758,0.013,0.812,0.293,0.267
216,Descarga Bombeo,0.92,2.49,9.3,20.63,9.3,134.73,43.3,98.8,50.0,20.993,13.178,0.018,9.0,26,0.205,3.2272,0.082,2.6,64.56,11.73,255,15327,0.015,2.309,0.024259911894273126,0.093,1.478,0.017,0.847,0.205,0.171
217,Torre Superficial,1.52,4.11,9.6,21.13,10.0,144.63,52.7,131.06841046277668,40.0,26.862,30.233,0.012,19.0,12,0.319,2.8076,0.07,2.5,31.99,5.75,277,7517,0.029,2.667,0.004,0.119,1.766,0.06,0.685,0.319,0.291
218,Torre Media,0.8,2.16,7.2,18.13,5.2,71.43,53.7,157.0,40.0,139.955,44.186,0.014,18.0,15,0.432,2.9448,0.092,3.1,5.92,11.08,40,2281,0.014,3.162,0.024259911894273126,0.62,2.184,0.057,0.912,0.432,0.248
219,Torre Profua,0.8,2.16,7.4,17.8,5.8,81.0,58.6,139.7,60.0,155.756,75.194,0.036,26.0,43,0.477,2.9629,0.101,3.4,1.78,6.1,12,746,0.014,3.623,0.005,0.69,2.608,0.097,0.893,0.477,0.245
220,Presa,1.47,3.98,7.6,18.61,5.2,72.11,49.7,131.06841046277668,50.0,124.831,30.233,0.014,11.0,0,0.018,2.8144,0.086,3.0,37.32,31.93,500,1094,0.021,2.469,0.024259911894273126,0.553,1.758,0.06,0.822,0.459,0.334
221,Potreros,1.83,4.95,9.1,20.53,8.4,121.73,49.4,131.06841046277668,30.0,74.041,30.233,0.018,19.0,6,0.334,2.9536,0.083,2.8,13.62,4.21,50,7194,0.016,2.69,0.003,0.328,2.167,0.06,0.728,0.334,0.259
222,PalmasEsp.Santo,1.66,4.49,9.4,21.3,8.8,129.23,53.8,131.06841046277668,10.0,45.598,6.202,0.032,13.0,10,0.284,2.6578,0.078,2.9,7.7,3.08,5,7794,0.029,2.912,0.002,0.202,1.922,0.008,0.776,0.284,0.231
223,Descarga Bombeo,1.8,4.87,9.2,19.97,9.3,133.17,46.9,131.06841046277668,50.0,118.51,7.752,0.016,11.0,9,0.326,2.9919,0.072,2.4,17.77,0.89,90,3394,0.015,2.251,0.023,0.525,1.893,0.01,0.748,0.326,0.193
224,Torre Superficial,3.1,8.39,7.3,21.27,7.2,104.53,51.7,131.06841046277668,10.0,66.817,58.14,0.08,14.0,3,0.337,1.6992,0.051,3.0,9.48,2.13,35,2233,0.031,3.654,0.013,0.296,2.459,0.075,0.688,0.337,0.203
225,Torre Media,3.1,8.39,6.9,19.67,5.4,76.3,62.7,131.06841046277668,20.0,69.526,91.473,0.054,16.0,6,0.371,1.6343,0.064,3.9,5.33,2.96,45,0,0.022,4.988,0.018,0.308,3.011,0.118,0.713,0.371,0.185
226,Torre Profua,3.1,8.39,6.9,18.65,1.8,25.25,51.8,131.06841046277668,30.0,83.973,140.31,0.054,22.0,5,0.434,1.6648,0.06,3.6,1.18,2.55,5,333,0.023,3.791,0.034,0.372,2.163,0.181,0.895,0.434,0.227
227,Presa,2.75,7.44,7.4,19.31,5.0,70.7,47.6,131.06841046277668,30.0,54.176,120.93,0.08,17.0,5,0.342,1.7071,0.057,3.3,21.32,3.97,135,333,0.022,2.896,0.037,0.24,1.802,0.156,0.759,0.342,0.174
228,Potreros,3.0,8.12,7.4,21.53,7.1,104.63,51.3,131.06841046277668,30.0,43.115,43.411,0.025,17.0,3,0.263,1.5847,0.051,3.2,5.92,2.37,30,1920,0.019,3.295,0.011,0.191,2.058,0.056,0.695,0.263,0.167
229,PalmasEsp.Santo,2.97,8.03,7.4,21.17,7.1,102.53,55.5,131.06841046277668,20.0,49.436,57.364,0.017,16.0,5,0.294,1.5927,0.051,3.2,2.37,2.19,20,1020,0.018,3.744,0.009,0.219,2.328,0.074,0.676,0.294,0.192
230,Descarga Bombeo,2.8,7.57,8.2,21.17,7.8,112.47,48.4,131.06841046277668,40.0,41.761,47.287,0.007,17.0,3,0.245,2.257207249070632,0.046,3.3128544423440456,4.15,2.9,20,500,0.018,3.138,0.009,0.185,1.954,0.061,0.643,0.245,0.039
231,Torre Superficial,2.72,7.36,7.6,20.03,8.0,113.2,48.8,131.06841046277668,20.0,92.777,18.605,0.017,14.0,2,0.342,2.1667,0.058,2.7,8.29,5.39,2273,580,0.022,3.034,0.008,0.411,2.019,0.024,0.745,0.342,0.209
232,Torre Media,2.72,7.36,7.1,18.9,6.5,90.13,48.7,131.06841046277668,10.0,111.512,47.287,0.017,11.0,3,0.37,1.9411,0.058,3.0,8.29,8.29,1030,1505,0.024,2.93,0.007,0.494,2.048,0.061,0.764,0.37,0.196
233,Torre Profua,2.72,7.36,7.0,18.3,4.4,60.5,54.5,131.06841046277668,30.0,125.959,108.527,0.03,10.0,5,0.424,1.8507,0.06,3.2,0.59,2.72,597,333,0.02,3.508,0.001,0.558,2.352,0.14,0.781,0.424,0.211
234,Presa,3.07,8.3,7.0,18.89,5.9,82.65,46.4,131.06841046277668,20.0,102.483,93.023,0.077,12.0,3,0.426,2.0782,0.066,3.2,4.74,3.14,1465,333,0.021,2.395,0.005,0.454,1.652,0.12,0.778,0.426,0.247
235,Potreros,2.22,6.01,7.8,20.43,8.0,114.03,46.4,131.06841046277668,10.0,83.747,17.054,0.025,10.0,3,0.311,1.9484,0.061,3.1,5.92,5.69,2885,333,0.022,2.728,0.007,0.371,1.82,0.022,0.669,0.311,0.198
236,PalmasEsp.Santo,2.29,6.19,7.7,20.13,8.0,114.63,54.3,131.06841046277668,10.0,93.679,10.853,0.03,10.0,3,0.31,1.9571,0.059,3.0,8.29,5.8,3450,1070,0.019,3.637,0.007,0.415,2.389,0.014,0.699,0.31,0.2
237,Descarga Bombeo,2.35,6.36,7.9,20.43,7.9,113.23,44.1,131.06841046277668,10.0,96.84,10.078,0.019,7.0,2,0.324,1.9685,0.055,2.8,3.55,10.13,1625,333,0.021,2.517,0.008,0.429,1.757,0.013,0.702,0.324,0.143
238,Torre Superficial,2.07,5.6,8.3,21.0,10.0,146.93,49.4,131.06841046277668,30.0,141.761,58.14,0.008,11.0,3,0.551,1.9247,0.059,3.1,17.18,4.8,2430,557,0.034,4.011,0.034,0.628,2.933,0.075,1.125,0.551,0.341
239,Torre Media,2.07,5.6,7.9,20.73,10.0,145.3,48.9,131.06841046277668,30.0,164.786,64.341,0.018,19.0,6,0.643,1.6959,0.063,3.7,17.77,5.45,1232,333,0.02,6.121,0.024,0.73,4.078,0.083,1.06,0.643,0.406
240,Torre Profua,2.07,5.6,7.4,20.37,9.9,142.9,55.5,131.06841046277668,20.0,179.007,85.271,0.037,13.0,7,0.625,1.7321,0.068,3.9,13.0,6.5,745,333,0.016,7.025,0.024259911894273126,0.793,4.792,0.11,1.097,0.625,0.36
241,Presa,1.85,5.0,7.6,19.25,6.7,95.42,52.3,131.06841046277668,10.0,102.483,207.752,0.156,23.0,4,0.714,1.8723,0.102,5.5,15.4,6.16,985,370,0.047,3.145,0.024259911894273126,0.454,2.292,0.268,1.115,0.714,0.403
242,Potreros,1.8,4.87,8.0,21.9,9.1,135.63,50.8,131.06841046277668,10.0,131.828,49.612,0.022,10.0,4,0.508,1.9519,0.063,3.2,10.07,4.03,1845,333,0.017,3.991,0.024259911894273126,0.584,2.873,0.064,0.939,0.508,0.327
243,PalmasEsp.Santo,1.74,4.71,7.8,22.05,10.0,149.55,65.4,131.06841046277668,20.0,145.598,51.938,0.018,15.0,4,0.525,1.8497,0.066,3.6,5.33,2.96,1715,1070,0.016,6.505,0.024259911894273126,0.645,4.447,0.067,1.029,0.525,0.327
244,Descarga Bombeo,1.8,4.87,9.3,21.3,10.5,154.65,47.7,131.06841046277668,20.0,118.059,32.558,0.009,8.0,3,0.521,1.9606,0.059,3.0,16.59,2.07,1785,333,0.025,3.223,0.024259911894273126,0.523,2.531,0.042,1.002,0.521,0.37
245,Torre Superficial,1.75,4.73,8.2,20.47,7.8,111.73,51.3,131.06841046277668,10.0,156.208,37.984,0.005,2.0,5,0.437,2.257207249070632,0.07452730696798493,3.3128544423440456,6.52,3.44,51,852,0.02,3.813,0.05,0.692,2.743,0.049,1.141,0.437,0.228
246,Torre Media,1.75,4.73,7.5,18.93,6.5,91.87,67.6,131.06841046277668,40.0,240.181,27.907,0.016,4.0,4,0.553,2.257207249070632,0.07452730696798493,3.3128544423440456,7.7,4.32,40,28,0.02,5.845,0.031,1.064,4.029,0.036,0.788,0.553,0.276
247,Torre Profua,1.75,4.73,7.6,18.6,5.8,80.1,74.8,131.06841046277668,60.0,253.047,15.504,0.057,1.0,6,0.598,2.257207249070632,0.07452730696798493,3.3128544423440456,3.55,2.25,20,333,0.02,6.825,0.023,1.121,4.802,0.02,0.395,0.598,0.322
248,Presa,1.8,4.87,7.2,19.3,5.3,76.07,48.5,131.06841046277668,80.0,154.628,41.86,0.156,2.0,5,0.593,2.257207249070632,0.07452730696798493,3.3128544423440456,21.32,13.92,185,333,0.023,2.77,0.035,0.685,1.906,0.054,0.373,0.593,0.386
249,Potreros,1.87,5.06,8.6,20.83,7.8,114.2,48.0,131.06841046277668,40.0,138.375,44.186,0.025,1.0,5,0.408,2.257207249070632,0.07452730696798493,3.3128544423440456,5.33,3.79,40,500,0.023,3.362,0.053,0.613,2.463,0.057,0.259,0.408,0.21
250,PalmasEsp.Santo,1.63,4.41,8.3,20.4,7.9,114.6,53.3,131.06841046277668,60.0,153.95,3.876,0.012,1.0,5,0.395,2.257207249070632,0.07452730696798493,3.3128544423440456,8.29,2.49,25,700,0.02,3.919,0.049,0.682,2.826,0.005,0.457,0.395,0.222
251,Descarga Bombeo,1.95,5.27,9.3,21.3,10.5,154.65,47.7,131.06841046277668,80.0,159.368,37.209,0.01,1.0,3,0.418,2.257207249070632,0.07452730696798493,3.3128544423440456,10.66,4.26,35,333,0.023,2.691,0.057,0.706,1.988,0.048,1.208,0.418,0.204
252,Torre Superficial,0.78,2.11,9.2,21.17,9.5,139.57,57.0,131.06841046277668,10.0,90.971,14.729,0.005,9.0,7,0.303,2.5892,0.081,3.1,46.2,12.68,30114,378,0.023,4.325,0.022,0.403,4.506,0.019,0.985,0.303,0.19
253,Torre Media,0.78,2.11,7.7,19.13,6.5,91.4,59.2,131.06841046277668,40.0,151.693,103.101,0.016,10.0,10,0.506,2.284,0.079,3.5,30.8,13.15,19220,333,0.022,5.277,0.023,0.672,6.989,0.133,1.107,0.506,0.244
254,Torre Profua,0.78,2.11,7.9,18.85,6.0,84.2,68.3,131.06841046277668,60.0,181.49,100.775,0.057,12.0,11,0.531,2.2553,0.084,3.7,21.32,4.38,7632,333,0.028784671532846716,6.736,0.023,0.804,7.202,0.13,1.102,0.531,0.241
255,Presa,0.97,2.62,7.4,18.69,5.3,73.65,47.3,131.06841046277668,80.0,124.605,169.767,0.156,12.0,5,0.6,2.2188,0.093,4.2,36.13,12.79,8625,333,0.017,3.061,0.026,0.552,3.243,0.219,1.111,0.6,0.297
256,Potreros,0.8,2.16,9.8,22.4,9.4,141.87,56.5,131.06841046277668,40.0,5.869,30.233,0.025,12.0,5,0.317,2.5649,0.081,3.2,45.61,10.78,31112,333,0.028784671532846716,4.42,0.005,0.026,4.283,0.06,0.946,0.317,0.31
257,PalmasEsp.Santo,0.76,2.06,9.1,21.57,9.0,133.73,67.4,131.06841046277668,60.0,117.833,30.233,0.012,13.0,5,0.378,2.2256,0.079,3.5,40.28,6.57,27025,8600,0.022,6.226,0.023,0.522,6.468,0.06,1.082,0.378,0.253
258,Descarga Bombeo,0.95,2.57,7.9,19.5,7.8,110.6,46.1,131.06841046277668,80.0,144.018,30.233,0.01,7.0,3,0.473,2.1782,0.072,3.3,10.07,3.61,8225,333,0.025,3.307,0.032,0.638,3.419,0.06,1.104,0.473,0.319
259,Torre Superficial,1.9,5.14,9.4,20.7,9.4,136.23,50.964438186567506,131.06841046277668,40.0,249.436,8.527,0.012,24.0,5,0.571,2.8356,0.102,3.6,22.51,6.93,1871,1338,0.039,3.796,0.054,1.105,2.62,0.011,1.632,0.571,0.296
260,Torre Media,1.9,5.14,7.7,18.97,6.6,92.37,50.964438186567506,131.06841046277668,30.0,301.129,46.512,0.011,17.0,8,0.639,2.6737,0.1,3.7,7.7,3.91,378,999,0.013,4.142,0.073,1.334,2.865,0.06,1.614,0.639,0.269
261,Torre Profua,1.9,5.14,8.0,19.0,6.2,87.25,50.964438186567506,131.06841046277668,40.0,299.323,55.814,0.022,20.0,16,0.649,2.5674,0.192,7.5,10.66,4.68,225,666,0.012,5.8,0.048,1.326,4.045,0.072,1.716,0.649,0.279
262,Presa,1.77,4.79,7.4,19.33,6.3,90.19,50.964438186567506,131.06841046277668,60.0,200.677,237.984,0.14,29.0,5,0.699,2.7703,0.273,9.9,21.32,6.04,472,666,0.039,3.413,0.039,0.889,2.067,0.307,1.532,0.699,0.247
263,Potreros,1.66,4.49,9.2,20.93,9.0,131.77,50.964438186567506,131.06841046277668,30.0,244.921,8.527,0.029,10.0,5,0.595,2.7625,0.101,3.7,7.11,4.5,735,666,0.035,3.727,0.047,1.085,2.521,0.011,1.604,0.595,0.328
264,PalmasEsp.Santo,1.61,4.36,9.0,20.47,8.8,127.8,50.964438186567506,131.06841046277668,30.0,269.526,3.101,0.016,10.0,6,0.597,3.3509,0.127,3.8,11.25,4.92,448,933,0.015,5.002,0.038,1.194,3.501,0.004,1.607,0.597,0.313
265,Descarga Bombeo,1.67,4.52,9.1,19.73,9.1,130.13,50.964438186567506,131.06841046277668,70.0,341.084,46.512,0.02,21.0,7,0.74,2.1782,0.072,3.3,10.07,4.03,1005,666,0.045,3.414,0.05,1.511,2.272,0.06,1.828,0.74,0.337
266,Torre Superficial,1.0,2.71,9.9,21.07,9.7,141.83,67.1,131.06841046277668,30.0,35.666,30.233,0.01,13.0,6,0.353,2.4882,0.077,3.1,52.72,8.23,38205,789,0.021,4.225,0.011,0.158,2.767,0.06,1.456,0.353,0.314
267,Torre Media,1.0,2.71,9.3,20.9,9.0,129.3,61.3,131.06841046277668,30.0,145.147,82.946,0.01,12.0,7,0.574,2.4014,0.074,3.1,23.1,8.83,23205,333,0.026,3.627,0.024,0.643,2.425,0.107,1.527,0.574,0.338
268,Torre Profua,1.0,2.71,8.4,20.33,7.7,109.8,55.3,131.06841046277668,40.0,140.406,77.519,0.026,15.0,4,0.573,2.3195,0.076,3.3,23.1,9.24,9305,333,0.024,4.978,0.022,0.622,3.19,0.1,1.488,0.573,0.348
269,Presa,0.97,2.62,8.3,19.25,6.7,94.75,61.1,131.06841046277668,40.0,45.147,178.295,0.132,30.0,6,0.54,2.7763,0.136,4.9,31.99,9.06,14605,333,0.021,3.395,0.01,0.2,2.073,0.23,1.326,0.54,0.313
270,Potreros,0.78,2.11,10.2,21.13,10.0,145.63,64.2,131.06841046277668,180.0,5.192,30.233,0.011,22.0,7,0.258,2.6702,0.081,3.0,44.43,5.33,19505,900,0.01,3.917,0.005,0.023,2.639,0.06,1.437,0.258,0.251
271,PalmasEsp.Santo,0.78,2.11,10.0,20.8,9.9,143.3,69.8,131.06841046277668,210.0,20.542,30.233,0.015,20.0,9,0.354,2.5814,0.193,7.5,50.94,6.69,18005,333,0.027,5.048,0.024259911894273126,0.091,3.753,0.06,1.448,0.354,0.334
