,PM,Profuidad,Zona fótica,pH,Temperatura ,OD,OD%,Conductividad,Redox,Fósforo Total,Nitratos,N. amonical ,Mang,Color,Turbiedad,N total,TOC,"UV 
(cm1)",SUVA,Clorofila,Feopigmentos,Algas,Cianobacterias totales,F N,CL N,NO2 N,NO3 N,SO4 N,NH4+ N,K N,NT N,NT Orgánico N
404,PalmasEsp.Santo,2.3,6.22,7.0,21.87,7.7,113.57,54.8,188.3,60.0,164.334,30.233,0.011,14.0,6,0.277,1.8566,0.058,3.1,7.91,15.32,133,567,0.014,4.334,0.018,0.728,2.867,0.06,0.821,0.277,0.107
405,Descarga Bombeo,3.34,9.03,7.5,22.27,7.8,116.03,44.5,171.3,20.0,161.625,22.481,0.004,10.0,4,0.242,1.9137,0.055,2.9,0.95,8.77,66,500,0.014,3.012,0.02,0.716,1.978,0.029,0.875,0.242,0.051
406,Torre Superficial,2.37,6.41,6.7,20.0,7.9,112.5,49.7,132.0,150.0,186.456,33.333,0.01,20.0,16,0.427,2.2897,0.085,3.7,5.04,20.55,735,1800,0.021,3.001,0.024,0.826,2.838,0.043,0.979,0.427,0.199
407,Torre Media,2.37,6.41,6.6,18.7,6.8,94.3,54.6,139.7,160.0,213.77,37.209,0.01,33.0,29,0.424,2.2841,0.097,4.3,3.97,22.97,157,500,0.025,3.374,0.029,0.947,2.865,0.048,1.024,0.424,0.164
408,Torre Profua,2.37,6.41,6.4,18.2,6.8,94.2,59.3,147.0,50.0,225.734,43.411,0.01,10.0,30,0.494,2.3104,0.095,4.1,2.07,21.25,71,333,0.026,3.662,0.034,1.0,3.17,0.056,1.069,0.494,0.215
409,Presa,2.8,7.57,6.2,18.5,4.1,57.9,51.7,122.7,70.0,143.115,134.109,0.093,12.0,7,0.467,2.2201,0.079,3.6,10.1,15.96,533,667,0.034,3.082,0.023,0.634,2.436,0.173,1.155,0.467,0.183
410,Potreros,2.0,5.41,6.8,19.8,7.3,104.2,44.5,160.0,20.0,155.079,39.535,0.01,13.0,9,0.347,2.3225,0.082,3.5,3.02,19.27,833,1300,0.0,2.556,0.022,0.687,2.018,0.051,0.916,0.347,0.145
411,PalmasEsp.Santo,1.95,5.27,6.9,20.2,7.8,112.87,53.1,142.7,20.0,184.65,27.907,0.01,8.0,12,0.388,2.2271,0.075,3.4,1.52,13.86,300,967,0.028,3.167,0.023,0.818,2.507,0.036,0.98,0.388,0.168
412,Descarga Bombeo,2.44,6.6,6.8,20.43,7.8,112.27,48.1,165.2,10.0,151.467,32.558,0.01,7.0,4,0.468,2.222,0.071,3.2,5.16,23.86,1333,567,0.026,2.941,0.024,0.671,2.27,0.042,0.988,0.468,0.277
413,Torre Superficial,1.78,4.81,6.2,19.5,7.5,105.2,46.6,255.5,30.0,56.885,20.155,0.01,15.0,9,0.607,1.8534,0.087,4.7,7.54,14.28,716,1403,0.014,2.375,0.024259911894273126,0.252,5.319,0.026,0.94,0.607,0.529
414,Torre Media,1.78,4.81,6.1,17.6,4.8,64.7,50.2,272.4,50.0,67.269,30.233,0.01,17.0,17,0.834,1.8637,0.087,4.6,5.83,13.21,162,500,0.014,3.340567730749287,0.013,0.298,0.525,0.06,1.046,0.834,0.763
415,Torre Profua,1.78,4.81,6.2,17.7,5.9,79.9,53.5,267.9,50.0,256.659,23.256,0.013,14.0,26,0.892,1.7531,0.092,5.3,2.57,11.28,76,333,0.023,2.712,0.018,1.137,2.298,0.03,0.968,0.892,0.606
416,Presa,1.84,4.98,5.9,18.5,4.5,63.26,52.3,191.2,70.0,274.718,25.581,0.024,12.0,34,0.947,2.1634,0.129,6.0,11.22,18.87,633,800,0.023,3.076,0.023,1.217,2.657,0.033,1.138,0.947,0.64
417,Potreros,1.5,4.06,6.3,19.73,6.7,94.3,41.7,275.1,0.0,275.621,20.155,0.01,13.0,13,0.802,1.8099,0.088,4.8,4.25,12.81,366,1100,0.025,3.128,0.033,1.221,2.64,0.026,0.88,0.802,0.496
418,PalmasEsp.Santo,1.66,4.49,6.5,19.5,7.4,104.33,49.7,261.0,40.0,195.937,20.93,0.008,11.0,8,0.714,1.7342,0.074,4.3,1.19,8.3,616,600,0.023,2.268,0.019,0.868,1.919,0.027,0.936,0.714,0.491
419,Descarga Bombeo,2.05,5.55,6.4,20.57,6.4,92.3,49.0,273.5,20.0,213.093,30.233,0.023,12.0,5,0.623,1.8753,0.075,4.0,1.21,7.53,433,733,0.036,2.999,0.021,0.944,2.458,0.06,1.045,0.623,0.404
420,Torre Superficial,2.53,6.84,6.6,19.7,7.5,106.5,52.3,229.8,20.0,181.716,50.388,0.01,10.0,4,0.408,1.3871,0.074,5.3,5.25,11.39,354,333,0.024,3.116,0.037,0.805,2.554,0.065,0.669,0.408,0.164
421,Torre Media,2.53,6.84,6.4,18.4,6.9,96.7,57.6,226.3,40.0,241.084,51.163,0.01,11.0,12,0.487,1.4769,0.074,5.0,3.91,9.26,173,333,0.024,3.256,0.04,1.068,2.626,0.066,0.751,0.487,0.183
